gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
KIF6,Q6ZMV9,Homo sapiens,"Cilia,Motor_Protein",Kinesin motor for ciliary transport; cilia are potential gravity sensors.,Associated with AIS susceptibility. (DOI: 10.1093/hmg/ddq172),78,Ciliary motor protein linked to scoliosis.
CAV1,Q03135,Homo sapiens,"Mechanotransduction,Membrane,Notochord",Caveolae flatten under mechanical tension; reduced in microgravity.,Required for notochord mechanical integrity; loss in zebrafish leads to kinking (scoliosis-like).,78,Membrane tension sensor linked to notochord mechanics.
HSPG2,P98160,Homo sapiens,"ECM,Mechanotransduction",Perlecan; mechanosensor in lacuno-canalicular system of bone.,Deficiency leads to Schwartz-Jampel syndrome with skeletal abnormalities (kyphoscoliosis).,75,Key mechanosensory ECM component.
MATN1,P21941,Homo sapiens,"ECM,Cartilage",Forms filamentous networks in cartilage; contributes to stiffness.,Linked to idiopathic scoliosis susceptibility in some populations. (DOI: 10.1016/j.ygeno.2007.03.010),75,Structural component of cartilage matrix.
WNT3A,P56704,Homo sapiens,"Signaling,Bone",Wnt signaling responds to mechanical load (osteocyte mechanotransduction).,Crucial for bone mass regulation and vertebral formation.,75,Key signaling pathway in bone mechanobiology.
GREM1,O60565,Homo sapiens,"Signaling,Growth_Plate",BMP antagonist; balances proliferation/differentiation in growth plate under load.,Variants linked to bone density and potentially structural defects.,72,Regulates growth plate sensitivity.
VIM,P08670,Homo sapiens,"Cytoskeleton,Mechanotransduction","Cytoskeletal remodeling in microgravity; essential for cell stiffness. (Wuest et al., 2025, doi:10.3389/frspt.2025.1677728)",General link to mesenchymal cell mechanics; upregulation in compressed discs.,72,Intermediate filament responsive to gravity loading.
SIRT1,Q96EB6,Homo sapiens,"Signaling,Muscle,Metabolism",Drives muscle gene expression changes in microgravity. (PMC5515518),Protects against IVD degeneration; decline linked to aging spine.,72,Metabolic regulator of muscle response to unloading.
SCUBE3,Q8IX30,Homo sapiens,"ECM,Signaling",Secreted glycoprotein; modulates BMP signaling in osteogenesis.,Overexpression implicated in high bone mass and potential structural anomalies.,70,Emerging candidate in bone morphogenesis.
HOXB1,P14653,Homo sapiens,"Development,Segmentation",Hox genes specify vertebral identity along the A-P axis (gravity axis).,Disruption leads to vertebral patterning defects.,70,Positional identity gene.
CDKN1A,P38936,Homo sapiens,"Signaling,Microgravity_Response","Upregulated in microgravity, arresting osteoblast growth. (Blaber et al., 2013, PMC3630201)",Involved in intervertebral disc senescence.,70,Key marker of microgravity-induced cell cycle arrest.
LMNA,P02545,Homo sapiens,"Mechanotransduction,Nucleus,Cytoskeleton","Nuclear lamina scales with tissue stiffness; central mechanotransducer (Swift et al., 2013).",Mutations cause LMNA-CMD and EDMD2/3 with severe scoliosis. (PMC4105307),92,Direct link between nuclear mechanotransduction and spinal stability.
PAX1,P15863,Homo sapiens,"Segmentation,Somite",Required for sclerotome differentiation and vertebral body formation (gravity resisting units).,Undulated mouse mutants show severe vertebral defects and scoliosis. (PMID: 7875377),88,Essential for vertebral structural integrity.
NKX3-2,P78367,Homo sapiens,"Growth_Plate,Development",Inhibits chondrocyte maturation; modulates stress response in cartilage.,Mutations cause Spondylo-megaepiphyseal-metaphyseal dysplasia (SMMD) with scoliosis. (PMC7860120),85,Regulates cartilage growth under load.
COL6A1,P12109,Homo sapiens,"ECM,Muscle",Interface between muscle and ECM; critical for force transmission.,Ullrich CMD and Bethlem Myopathy feature prominent scoliosis. (PMC8283577),85,Key for muscle-matrix mechanical coupling.
FHL1,Q13642,Homo sapiens,"Mechanotransduction,Muscle",LIM domains act as mechanosensors; mutations cause Reducing Body Myopathy.,Mutations lead to rigid spine syndrome and severe scoliosis. (PMC11978423),85,Muscle mechanosensor linked to spinal rigidity.
GDF6,Q6KF10,Homo sapiens,"Development,Signaling",BMP family member regulating vertebral segmentation and fusion.,Mutations cause Klippel-Feil syndrome (fused vertebrae/scoliosis). (MedlinePlus),85,Direct cause of vertebral fusion defects.
DVL1,O14640,Homo sapiens,"PCP,Wnt_Signaling",Mediator of Wnt/PCP signaling; establishes tissue polarity against stress.,Mutations cause Robinow Syndrome with hemivertebrae and scoliosis. (PMC4385193),85,PCP mediator linked to segmentation defects.
LRP5,O75197,Homo sapiens,"Signaling,Bone",Wnt co-receptor regulating bone mass in response to load.,Mutations alter anabolic response to loading; osteoporosis-pseudoglioma syndrome. (Frontiers),85,Key regulator of bone mechanoadaptation.
SYNE1,Q8NF91,Homo sapiens,"Mechanotransduction,Nucleus,LINC",Connects nucleus to cytoskeleton; essential for force transmission.,Deficiency causes ataxia and arthrogryposis with spinal deformities. (GeneReviews),82,LINC complex component essential for cellular mechanics.
RYR1,P21817,Homo sapiens,"Muscle,Ion_Channel",Regulates calcium release for muscle contraction (postural tone).,Central Core Disease is strongly associated with congenital scoliosis. (PM&R),82,Essential for muscle tone maintenance.
MEOX1,P50221,Homo sapiens,"Segmentation,Somite",Regulates sclerotome development and vertebral formation.,Mutations cause Klippel-Feil syndrome. (KEGG),80,Transcription factor for vertebral somites.
GDF3,Q9NR23,Homo sapiens,"Development,Signaling",Involved in vertebral development and segmentation.,Mutations cause Klippel-Feil syndrome and skeletal defects. (CHOP),80,Linked to vertebral fusion.
PRICKLE1,Q96MT3,Homo sapiens,"PCP,Signaling",PCP component aligning cells against stress lines.,Mutations cause progressive myoclonus epilepsy; PCP defects link to spine.,78,PCP pathway member.
METTL3,Q86U44,Homo sapiens,"Epigenetics,Muscle,ROS","Functional unloading alters m6A RNA methylation in muscle, regulating atrophy (Sun et al., 2023).","ROS-METTL3-ESR1 axis drives paraspinal muscle asymmetry in AIS (Shao et al., 2025).",89,Key epigenetic regulator linking oxidative stress to muscle asymmetry.
ESR1,P03372,Homo sapiens,"Signaling,Muscle,Bone",Estrogen deficiency accelerates bone loss in space; key regulator of mechanical loading response.,Suppressed by METTL3 in AIS paraspinal muscles; polymorphisms linked to curve severity.,88,Mechanosensitive receptor linking hormonal status to spinal stability.
MMP1,P03956,Homo sapiens,"ECM,Degradation","Primary driver of IVD ECM degradation under simulated microgravity (Chen et al., 2025).",ECM degradation leads to disc wedging and curvature progression.,87,Direct enzymatic driver of microgravity-induced disc degeneration.
MMP3,P08254,Homo sapiens,"ECM,Degradation","Upregulated in IVD cells under microgravity; degrades proteoglycans (Chen et al., 2025).",Polymorphisms associated with disc degeneration and scoliosis susceptibility.,87,Key protease in load-dependent disc remodeling.
PPARG,P37231,Homo sapiens,"Metabolism,Muscle","Drives marrow adipogenesis at expense of osteogenesis in microgravity (Pandit et al., 2025).",Paraspinal muscle fatty infiltration is a hallmark of progressive scoliosis.,85,Regulates the muscle-to-fat switch observed in unloading and scoliosis.
LOX,P28300,Homo sapiens,"ECM,Enzyme",Crosslinks collagen/elastin; activity is modulated by mechanical load.,Inhibition leads to lathyrism (spinal deformities); essential for spine stability.,85,Critical enzyme for establishing tissue stiffness against gravity.
COL11A2,P13942,Homo sapiens,"ECM,Growth_Plate",Structural collagen essential for cartilage stiffness and load resistance.,Mutations cause Stickler syndrome and Otospondylomegaepiphyseal dysplasia with scoliosis.,82,Structural collagen linking hearing loss to spinal defects.
INVS,Q9Y283,Homo sapiens,"Cilia,PCP",Ciliary flow sensing component (fluid flow as gravity proxy).,Key for Left-Right asymmetry; mutations cause cystic kidney disease and skeletal defects.,82,Essential for ciliary mechanosensation and body axis symmetry.
PKD1,P98161,Homo sapiens,"Cilia,Mechanotransduction",Mechanosensor in cilia/bone (polycystin complex with PKD2).,ADPKD patients have higher prevalence of spinal abnormalities.,82,Mechanotransduction partner of PKD2 in ciliary sensing.
SOD2,P04179,Homo sapiens,"Metabolism,ROS","Mitochondrial ROS is a major driver of spaceflight induced cellular damage (Shao et al., 2025).",Oxidative stress in paraspinal muscles contributes to asymmetry and AIS progression.,80,Mitochondrial antioxidant defending against unloading-induced ROS.
MSTN,O14793,Homo sapiens,"Muscle,Signaling,Growth","Inhibition leads to muscle growth; key target for preventing atrophy in microgravity. (Smith et al., 2020)",Muscle asymmetry and weakness contribute to curve progression in AIS.,85,Strong muscle link; potential therapeutic target for unloading.
SOST,Q9BQB4,Homo sapiens,"Bone,Mechanotransduction,Wnt","Mechanosensitive osteocyte-secreted inhibitor of Wnt; upregulated in unloading (bone loss). (Spatz et al., 2015)",Regulates vertebral bone density; inhibition increases bone mass.,88,Direct mechanosensor in bone; key for microgravity bone loss.
NOTCH2,Q04721,Homo sapiens,"Segmentation,Signaling",Notch signaling is sensitive to fluid shear stress.,"Mutations cause Alagille syndrome (butterfly vertebrae) and Hajdu-Cheney syndrome (severe osteoporosis/scoliosis). (Isidor et al., 2011)",85,Linked to vertebral segmentation and bone mass.
RIPPLY2,Q5TAB7,Homo sapiens,"Segmentation,Somite",Regulates timing of somitogenesis (segmentation clock).,"Mutations cause Spondylocostal Dysostosis and vertebral segmentation defects. (McInerney-Leo et al., 2015)",85,Essential for vertebral segmentation pattern.
IHH,Q14623,Homo sapiens,"Growth_Plate,Signaling,Development","Mechanotransduction regulates IHH in chondrocytes. (Wu et al., 2001)",Essential for vertebral body growth and ossification; mutations cause brachydactyly A1.,82,Key regulator of growth plate ossification under load.
GJA1,P17302,Homo sapiens,"Mechanotransduction,Gap_Junction","Hemichannels open in response to mechanical stress; essential for osteocyte network. (Jamsheer et al., 2010)",Mutations cause Oculodentodigital Dysplasia with spinal anomalies.,85,Essential for osteocyte mechanotransduction network.
ZYX,Q15942,Homo sapiens,"Mechanotransduction,Cytoskeleton","Recruited to stress fibers under tension; gravity sensing at focal adhesions. (Hoffman et al., 2012)",Regulates cell mechanics; potential link via actin remodeling.,80,Mechanosensitive protein at focal adhesions.
BBS1,Q8NFJ9,Homo sapiens,"Cilia,PCP",Bardet-Biedl Syndrome protein; cilia are gravity/flow sensors.,"BBS patients have high prevalence of scoliosis. (Alvarez-Satta et al., 2017)",82,Ciliary component linked to syndromic scoliosis.
RPGRIP1L,Q68CZ1,Homo sapiens,"Cilia,Centrosome",Controls ciliary gating and signaling.,Mutations cause Meckel-Gruber/Joubert syndromes; rpgrip1l mutant zebrafish develop scoliosis (eLife 2024).,88,Strong recent evidence linking ciliary defect to scoliosis.
FOXJ1,Q92949,Homo sapiens,"Cilia,Transcription_Factor",Master regulator of motile cilia (flow sensing).,Upregulated in rpgrip1l scoliosis models; essential for L-R asymmetry. (eLife 2024),82,Master regulator of motile cilia.
ZNF462,Q96JM2,Homo sapiens,"Neural_Crest,Development",Linked to Weiss-Kruszka Syndrome; potential neural crest hyper-proliferation.,"Patients with ZNF462 variants frequently present with scoliosis. (Weiss et al., 2017)",82,Syndromic link to scoliosis via neural crest.
PTGS2,P35354,Homo sapiens,"Inflammation,Mechanotransduction",Mechanically induced in osteocytes and disc cells (COX2).,Elevated in degenerative disc disease and scoliosis. (PMC11470263),78,Inflammatory mediator in mechanotransduction.
FLNA,P21333,Homo sapiens,"Cytoskeleton,Mechanotransduction","Actin crosslinker that acts as a mechanosensor, unfolding under tension to regulate integrin binding.",Mutations cause Otopalatodigital spectrum disorders and Ehlers-Danlos-like syndromes with frequent scoliosis. (PMC12493046),90,Direct mechanosensor linking cytoskeletal tension to ECM signaling; strong genetic link.
SMAD3,P84022,Homo sapiens,"Signaling,Mechanotransduction",Downstream effector of TGF-beta; TGF-beta release is mechanically regulated by ECM stretch (FBN1).,"Mutations cause Loeys-Dietz syndrome, where scoliosis is a major feature. (Marfan Trust)",88,Key effector of the mechanically-regulated TGF-beta pathway; syndromic scoliosis link.
DMD,P11532,Homo sapiens,"Muscle,Mechanotransduction,Cytoskeleton,Thermodynamic_Cost","Connects cytoskeleton to ECM (costamere), protecting muscle from contraction-induced mechanical damage and gravity load.","Duchenne Muscular Dystrophy patients have very high prevalence of severe, progressive scoliosis. (SciELO)",100,Essential for maintenance of muscle tone against gravity; loss leads to collapse.
CCDC40,Q4G0X9,Homo sapiens,"Cilia,Motor_Protein","Essential for motile cilia function (dynein assembly), which are flow/gravity sensors.","Novel rare variation associated with AIS; downregulation found in AIS patients; causes curvature in zebrafish. (Spine J 2025, PMID: 39662682)",88,Strong recent evidence (2025) linking motile cilia dysfunction to AIS.
KIF7,Q2M1P5,Homo sapiens,"Cilia,Motor_Protein,Signaling",Kinesin motor in Hedgehog pathway; cilia are flow/gravity sensors.,Mutations in KIF7 implicated in Idiopathic Scoliosis in humans and axial curvatures in zebrafish. (ResearchGate),88,Ciliary motor protein with direct genetic implication in scoliosis.
TWIST1,Q15672,Homo sapiens,"Development,Transcription_Factor",Regulates EMT and osteoblast differentiation under mechanical constraints.,"Mutations cause Saethre-Chotzen syndrome, which includes spinal abnormalities and scoliosis. (MedlinePlus)",85,Developmental regulator linked to syndromic spinal defects.
POSTN,Q15063,Homo sapiens,"ECM,Mechanotransduction",Highly mechanosensitive matricellular protein; upregulated by load in bone and PDL.,Involved in regulating vertebral bone mass; linked to spinal degenerative diseases. (Frontiers),82,Mechanosensitive ECM component regulating bone density.
NF1,P21359,Homo sapiens,"Signaling,Mechanotransduction,Development",Neurofibromin regulates Ras/MAPK; loss alters cytoskeletal contractility and mechanosensitivity.,Dystrophic scoliosis is a hallmark of Neurofibromatosis Type 1. (DOI: 10.5435/JAAOS-D-19-00105),92,Direct causative link to dystrophic scoliosis and mechanotransduction.
COL1A1,P02452,Homo sapiens,"ECM,Bone,Mechanotransduction",Major load-bearing collagen in bone; expression regulated by gravity/loading.,Osteogenesis Imperfecta (Type I/III/IV) features severe progressive scoliosis. (DOI: 10.1016/j.spam.2014.11.002),90,Primary structural failure against gravity in OI.
DNAH11,Q96DT5,Homo sapiens,"Cilia,Motor_Protein",Motile cilia sense/generate flow; essential for distinguishing gravity vector vs fluid shear.,Primary Ciliary Dyskinesia patients often have scoliosis. (DOI: 10.1183/09031936.00046808),88,Ciliary motility defect linked to laterality and spine.
CFAP298,Q5T0F0,Homo sapiens,"Cilia,Motility",Essential for ciliary motility and fluid flow sensing.,Mutations cause PCD; zebrafish kurnegal mutants have curly tails (scoliosis). (DOI: 10.1091/mbc.E13-05-0235),88,Strong zebrafish evidence linking ciliary motility to curvature.
GAS8,O95995,Homo sapiens,"Cilia,Motility",Microtubule-binding protein in axoneme; required for ciliary motility.,Mutations cause spine curvature in zebrafish and PCD in humans. (DOI: 10.1073/pnas.1002517107),85,Ciliary motility protein linked to axis straightening.
PLOD2,O00469,Homo sapiens,"ECM,Enzyme","Crosslinks collagen telopeptides, critical for bone stiffness and load resistance.",Bruck syndrome (osteoporosis + congenital contractures) includes scoliosis. (DOI: 10.1002/humu.20573),85,Enzyme defining collagen mechanical properties.
CTNNB1,P35222,Homo sapiens,"Adhesion,Signaling,Wnt",Mechanosensitive at adherens junctions; nuclear translocation modulated by strain.,Conditional deletion in osteoblasts leads to vertebral deformities. (DOI: 10.1002/jbmr.264),85,Key Wnt effector and mechanotransducer.
NOG,Q13253,Homo sapiens,"Signaling,Development",Antagonizes BMP to fine-tune bone formation under load.,Mutations cause symphalangism and vertebral fusions (Klippel-Feil like). (DOI: 10.1038/ng0399-255),85,Regulator of vertebral segmentation and fusion.
AKT1,P31749,Homo sapiens,"Signaling,Growth","Central to PI3K/Akt pathway, activated by integrins/mechanical stress.",Proteus syndrome (AKT1 mutation) causes distorting overgrowth and scoliosis. (DOI: 10.1056/NEJMoa1104017),85,Major growth regulator causing asymmetry when mutated.
SMAD4,Q13485,Homo sapiens,"Signaling,Mechanotransduction","Co-SMAD for TGF-beta/BMP, pathways regulated by mechanical strain.","Myhre syndrome causes short stature, stiff joints, and spinal anomalies. (DOI: 10.1038/ng.985)",85,TGF-beta pathway component linked to syndromic spine defects.
RHOA,P61586,Homo sapiens,"Cytoskeleton,Mechanotransduction","Regulates stress fibers and actomyosin contractility, the primary cellular response to gravity.",RhoA pathway modulation rescues spinal defects in some models; essential for neural crest. (PMID: 21474759),85,Master regulator of cytoskeletal tension.
MYH9,P35579,Homo sapiens,"Cytoskeleton,Motor_Protein","Generates non-muscle cortical tension, essential for cell shape in gravity.",MYH9-related disorders can include skeletal defects; key for notochord mechanics. (GeneReviews),82,Generates cellular tension countering deformation.
BGN,P21810,Homo sapiens,"ECM,Mechanotransduction",Modulates collagen fibril diameter and bone mass response to unloading.,Deficient mice develop osteoporosis and potential spinal deformities. (DOI: 10.1038/ng1098-82),82,ECM regulator of bone quality and mechanics.
EZR,P15311,Homo sapiens,"Cytoskeleton,Adhesion",Crosslinker between membrane and actin; stabilizes cell cortex against deformation.,Essential for notochord morphogenesis and spine alignment in zebrafish. (PMID: 21215259),80,Membrane-cytoskeleton linker.
SLC9A3R1,Q15599,Homo sapiens,"Cytoskeleton,Signaling",Links ion channels to actin cytoskeleton; scaffolding for mechanocomplexes.,Interacts with PCP proteins; loss affects bone quality and potentially alignment.,75,Scaffold protein linking signaling to structure.
CEP290,O15078,Homo sapiens,"Cilia,Astrogliosis,Inflammation",Ciliary transition zone protein essential for sensing flow/gravity.,Astrogliosis in ciliary mutants drives scoliosis via neuroinflammation (eLife 2024).,90,Novel astrogliosis mechanism linking ciliary defects to spine.
TGFBR2,P37173,Homo sapiens,"Signaling,ECM,Development",TGF-beta signaling is mechanically regulated by ECM stretch.,Deletion in collagen-expressing cells leads to IVD defects and spinal deformity (Loeys-Dietz).,90,Key signaling receptor for load-dependent tissue maintenance.
